userid,gender,age,city,job,education
userid_000000,0,1,34,6,2.0
userid_000001,1,2,3,5,1.0
userid_000002,0,1,8,1,2.0
userid_000003,1,1,4,8,2.0
userid_000004,0,2,17,1,5.0
userid_000005,1,3,2,1,2.0
userid_000006,1,2,3,1,1.0
userid_000007,0,2,2,7,5.0
userid_000008,1,2,3,1,2.0
userid_000009,0,2,3,1,2.0
userid_000010,1,2,2,1,2.0
userid_000011,0,2,16,9,1.0
userid_000012,1,2,2,9,1.0
userid_000013,1,2,32,6,5.0
userid_000014,1,2,6,1,2.0
userid_000015,1,1,4,10,1.0
userid_000016,1,2,30,1,2.0
userid_000017,1,2,19,1,2.0
userid_000018,0,2,2,1,2.0
userid_000019,0,1,12,1,2.0
userid_000020,1,2,1,4,1.0
userid_000021,0,2,3,1,2.0
userid_000022,0,2,4,8,1.0
userid_000023,0,3,28,1,2.0
userid_000024,1,1,18,11,1.0
userid_000025,0,1,33,12,1.0
userid_000026,0,2,20,1,1.0
userid_000027,1,1,3,1,1.0
userid_000028,0,2,20,1,2.0
userid_000029,0,2,2,1,2.0
userid_000030,1,2,1,1,1.0
userid_000031,1,2,4,1,1.0
userid_000032,1,3,3,1,5.0
userid_000033,0,2,24,10,2.0
userid_000034,1,1,18,5,5.0
userid_000035,1,2,4,1,2.0
userid_000036,1,2,21,10,5.0
userid_000037,1,2,4,1,5.0
userid_000038,0,1,24,1,2.0
userid_000039,0,2,27,1,2.0
userid_000040,1,2,5,1,2.0
userid_000041,1,1,23,2,1.0
userid_000042,0,1,4,9,5.0
userid_000043,1,2,2,1,5.0
userid_000044,1,2,1,1,2.0
userid_000045,1,2,1,3,1.0
userid_000046,1,3,35,9,2.0
userid_000047,1,1,4,6,5.0
userid_000048,1,3,27,9,2.0
userid_000049,1,2,2,9,5.0
userid_000050,1,2,2,2,2.0
userid_000051,1,2,4,2,2.0
userid_000052,1,2,4,1,1.0
userid_000053,1,4,3,1,5.0
userid_000054,1,2,3,1,2.0
userid_000055,1,2,18,3,2.0
userid_000056,1,1,2,4,5.0
userid_000057,1,1,35,11,2.0
userid_000058,1,1,4,8,2.0
userid_000059,1,2,4,11,2.0
userid_000060,0,2,2,10,2.0
userid_000061,1,3,6,8,2.0
userid_000062,1,2,26,9,5.0
userid_000063,1,2,24,1,5.0
userid_000064,1,2,14,7,2.0
userid_000065,0,1,22,1,2.0
userid_000066,1,3,3,4,1.0
userid_000067,1,3,3,6,5.0
userid_000068,0,1,2,8,5.0
userid_000069,1,3,1,8,2.0
userid_000070,0,1,3,1,5.0
userid_000071,1,1,3,5,5.0
userid_000072,0,1,9,7,2.0
userid_000073,0,2,2,1,1.0
userid_000074,0,2,2,5,2.0
userid_000075,0,1,1,6,1.0
userid_000076,1,1,3,1,1.0
userid_000077,1,2,32,11,2.0
